user,post,IntDegree
0,0,8.8571
0,1,14.6667
0,2,13.25
0,3,11.8571
0,4,14.2
0,5,12.0
0,6,13.25
0,7,11.0
0,8,11.8571
0,9,12.7143
0,10,13.4286
0,11,12.6667
0,12,10.0
0,13,13.0
0,14,15.6667
0,15,12.6
0,16,10.7143
0,17,11.0
0,18,10.8333
0,19,14.3333
0,20,10.8333
0,21,12.4
0,22,14.6667
0,23,10.0
2,0,9.2857
2,1,12.5
2,2,12.0
2,5,11.6
2,28,10.6667
2,29,10.7143
2,30,10.0
2,13,12.2
2,32,11.75
2,33,10.2
2,34,8.0
2,35,13.0
2,36,10.0
2,37,11.1429
2,38,9.0
2,39,9.7778
2,20,10.3333
2,41,13.6
2,42,10.1429
2,43,13.75
2,22,12.5
3,45,12.8333
3,46,11.6667
3,47,12.6
3,48,11.0
3,49,11.0
3,5,12.4
3,51,11.25
3,7,12.6
3,28,11.0
3,54,11.6667
3,29,11.2857
3,13,13.2
3,57,8.7143
3,58,12.0
3,59,10.5
3,18,11.3333
3,36,10.5
3,39,10.3333
3,63,10.5
3,42,11.2857
3,43,12.75
3,66,10.4286
4,67,16.2
4,68,14.3333
4,69,16.2857
4,4,13.2
4,5,12.8
4,51,16.25
4,73,17.5
4,74,14.2222
4,75,13.0
4,76,16.8333
4,77,14.25
4,78,12.2857
4,10,15.2857
4,28,13.8333
4,81,16.0
4,82,17.0
4,15,16.4
4,84,14.0
4,85,13.0
4,59,12.3333
4,17,15.8
4,88,15.4
4,89,15.75
4,19,13.5
4,20,10.1667
4,21,14.4
4,42,11.8571
4,94,14.5
5,67,15.0
5,2,15.5
5,68,14.0
5,49,14.3333
5,5,11.6
5,100,14.0
5,101,12.2222
5,73,15.5
5,7,11.4
5,28,13.8333
5,29,12.5714
5,12,10.75
5,107,13.0
5,13,15.4
5,14,12.1667
5,110,11.8333
5,85,9.0
5,17,14.6
5,88,15.6
5,18,14.1667
5,37,10.8571
5,38,10.1667
5,117,16.5
5,20,10.5
5,21,13.6
5,23,13.0
6,45,26.6667
6,122,29.0
6,0,17.0
6,1,23.5
6,46,21.8333
6,68,22.6667
6,48,22.0
6,69,24.0
6,129,27.4
6,49,21.0
6,4,23.4
6,5,23.8
6,100,29.0
6,134,22.8889
6,73,24.6667
6,6,25.25
6,77,22.375
6,78,21.4286
6,139,19.5
6,10,25.0
6,11,26.6667
6,54,23.0
6,29,24.0
6,12,19.25
6,81,23.375
6,146,23.0
6,13,24.4
6,148,23.2
6,14,27.0
6,33,19.8
6,57,18.5714
6,152,19.8
6,110,21.8333
6,82,27.1667
6,15,25.8
6,156,21.8
6,16,19.2857
6,158,17.6667
6,58,23.0
6,160,26.0
6,85,14.75
6,162,26.0
6,34,18.6667
6,164,18.2857
6,59,20.0
6,17,20.0
6,88,27.6
6,37,20.2857
6,38,16.6667
6,117,27.25
6,171,27.0
6,19,24.0
6,173,23.75
6,20,18.3333
6,21,22.2
6,42,20.7143
6,94,19.25
6,22,23.5
6,66,22.4286
6,23,18.25
6,181,18.75
11,1,19.1667
11,2,16.5
11,184,17.0
11,47,15.0
11,48,15.1667
11,4,18.4
11,188,19.8333
11,189,11.75
11,11,14.8333
11,146,12.6
11,32,16.0
11,14,19.8333
11,15,13.8
11,195,12.1429
11,84,17.5
11,160,17.8
11,162,17.8
11,199,18.1429
11,17,11.8
11,35,17.6
11,37,15.4286
11,171,17.0
11,19,19.1667
11,20,10.6667
11,41,18.6
11,42,12.7143
11,43,21.0
11,66,16.4286
11,23,11.25
12,122,22.3333
12,1,21.3333
12,129,20.0
12,101,15.3333
12,6,20.5
12,7,16.2
12,75,22.6
12,78,14.1429
12,139,16.0
12,189,14.0
12,10,20.1429
12,11,19.6667
12,54,19.6667
12,224,19.3333
12,29,15.2857
12,146,15.6
12,33,14.4
12,82,19.3333
12,15,19.4
12,16,13.2857
12,162,22.0
12,199,21.2857
12,59,12.8333
12,17,14.4
12,35,19.2
12,37,16.4286
12,39,18.4444
12,171,21.3333
12,19,20.8333
12,41,20.8
12,42,15.7143
12,43,22.75
12,22,21.3333
12,66,19.1429
12,245,18.4444
16,1,18.0
16,2,19.5
16,184,17.7143
16,68,15.3333
16,48,17.0
16,129,17.4
16,4,17.0
16,5,15.4
16,7,13.4
16,78,12.5714
16,9,16.7143
16,10,18.1429
16,28,15.8333
16,259,17.2
16,12,9.5
16,81,15.625
16,146,13.8
16,107,16.7143
16,148,17.1
16,15,17.8
16,84,18.0
16,16,11.8571
16,35,18.0
16,88,15.2
16,36,14.0
16,89,17.5
16,39,16.4444
16,273,19.8333
16,41,19.2
16,94,13.625
16,43,19.75
16,66,16.2857
17,1,21.0
17,2,21.75
17,46,18.1667
17,47,19.4
17,68,19.6667
17,129,22.2
17,5,19.8
17,101,17.3333
17,73,20.0
17,6,20.875
17,188,23.6667
17,189,18.375
17,8,18.0
17,10,21.1429
17,11,21.1667
17,29,20.0
17,146,18.6
17,107,18.7143
17,13,21.0
17,14,23.6667
17,33,16.8
17,57,14.8571
17,82,22.6667
17,15,21.4
17,195,19.7143
17,303,19.7143
17,160,21.2
17,34,14.3333
17,59,16.5
17,17,17.4
17,35,21.0
17,88,22.2
17,18,17.5
17,37,17.5714
17,38,13.8333
17,89,22.125
17,39,19.2222
17,19,21.0
17,20,15.5
17,42,17.5714
17,43,24.0
17,22,21.0
17,66,19.2857
17,245,19.2222
17,23,15.5
17,181,15.0
19,45,18.1667
19,122,19.5
19,326,15.1
19,49,12.6667
19,5,17.0
19,100,17.6667
19,75,16.2
19,78,16.2857
19,188,18.3333
19,8,15.2857
19,259,16.8
19,54,15.3333
19,29,17.1429
19,13,16.0
19,148,14.5
19,57,13.8571
19,152,14.0
19,110,16.5
19,195,17.2857
19,156,15.2
19,303,17.2857
19,16,13.4286
19,158,14.0
19,58,16.75
19,34,14.6667
19,164,14.2857
19,59,14.0
19,38,13.3333
19,117,16.5
19,19,16.5
19,173,15.5
19,41,16.0
19,42,15.7143
19,43,17.5
19,66,15.7143
19,181,14.0
21,1,17.6667
21,46,14.6667
21,69,20.5714
21,129,20.2
21,49,17.3333
21,101,18.1111
21,134,18.7778
21,73,19.5
21,139,18.8
21,8,17.7143
21,10,20.8571
21,28,17.0
21,259,20.4
21,29,19.1429
21,12,16.0
21,81,19.0
21,107,19.0
21,14,20.8333
21,33,16.6
21,57,14.5714
21,110,16.0
21,82,23.1667
21,15,22.8
21,59,15.0
21,88,20.8
21,36,16.0
21,38,14.3333
21,89,20.75
21,39,19.3333
21,63,16.0
21,173,19.25
21,20,15.0
21,273,23.1667
21,393,19.3333
21,41,20.0
21,21,18.0
21,42,14.8571
21,22,17.6667
21,66,17.7143
21,245,19.3333
21,181,15.5
28,1,17.5
28,48,14.6667
28,69,15.4286
28,101,12.7778
28,73,14.6667
28,188,18.5
28,28,14.1667
28,224,15.6667
28,409,15.75
28,29,13.5714
28,146,12.0
28,14,18.5
28,33,12.8
28,82,15.5
28,84,16.6667
28,160,16.6
28,199,16.8571
28,17,14.2
28,35,16.4
28,88,14.0
28,18,13.0
28,36,14.0
28,37,13.5714
28,39,14.5556
28,63,14.0
28,20,10.3333
28,21,13.4
28,42,11.8571
28,22,17.5
33,45,19.0
33,1,19.5
33,2,22.0
33,46,13.5
33,184,18.7143
33,68,16.8333
33,48,17.6667
33,49,18.6667
33,4,18.8
33,5,17.8
33,100,24.0
33,134,18.3333
33,51,17.0
33,73,18.6667
33,6,19.25
33,78,13.7143
33,139,17.5
33,9,18.4286
33,11,17.1667
33,81,18.75
33,148,18.6
33,14,21.3333
33,82,20.8333
33,15,20.0
33,84,19.3333
33,85,12.75
33,59,15.1667
33,17,18.2
33,88,17.2
33,39,18.6667
33,173,17.0
33,273,22.3333
33,393,17.8889
33,42,15.7143
33,22,19.5
33,66,17.7143
33,23,16.25
34,122,27.3333
34,67,22.6
34,1,24.3333
34,46,16.8333
34,184,25.0
34,68,21.0
34,48,23.1667
34,69,24.5714
34,129,25.0
34,49,21.0
34,3,22.5714
34,4,23.2
34,5,21.0
34,100,28.6667
34,73,23.8333
34,6,24.25
34,75,24.4
34,76,22.8333
34,77,20.375
34,10,25.4286
34,28,20.8333
34,259,25.0
34,11,22.6667
34,54,24.1667
34,29,20.5714
34,12,12.75
34,81,23.125
34,148,23.8
34,14,27.0
34,33,17.0
34,82,25.8333
34,15,25.6
34,84,23.6667
34,16,17.0
34,85,16.5
34,59,17.3333
34,17,21.6
34,88,21.8
34,18,21.0
34,37,20.2857
34,89,25.0
34,39,22.5556
34,19,24.8333
34,173,22.25
34,20,14.0
34,42,17.8571
34,94,19.5
34,43,27.25
34,22,24.3333
34,66,22.4286
34,245,22.5556
36,0,10.1429
36,46,11.5
36,68,12.3333
36,69,13.2857
36,49,11.3333
36,73,13.8333
36,76,13.3333
36,139,12.0
36,28,12.0
36,29,13.8571
36,148,12.2
36,33,11.8
36,82,15.0
36,15,14.2
36,195,12.8571
36,156,12.0
36,58,11.75
36,17,12.4
36,38,10.5
36,19,12.0
36,20,10.8333
36,41,13.0
36,42,11.0
36,66,12.0
41,45,17.1667
41,0,14.2857
41,1,15.0
41,46,16.1667
41,184,14.7143
41,47,15.8
41,68,15.1667
41,49,13.3333
41,73,15.8333
41,6,15.0
41,8,13.7143
41,54,15.0
41,29,16.0
41,146,15.4
41,30,17.4
41,13,16.6
41,14,16.8333
41,57,15.2857
41,110,17.1667
41,15,13.6
41,156,16.4
41,16,13.5714
41,158,13.0
41,58,16.0
41,34,16.0
41,164,13.8571
41,59,15.0
41,88,19.8
41,37,14.2857
41,38,14.0
41,117,17.75
41,20,15.1667
41,42,14.1429
41,22,15.0
41,23,12.5
41,181,15.5
42,122,14.0
42,1,13.0
42,326,11.4
42,68,11.6667
42,101,10.3333
42,6,12.5
42,76,11.1667
42,188,14.1667
42,259,12.0
42,54,12.5
42,29,12.1429
42,14,14.1667
42,33,11.2
42,16,10.5714
42,160,13.0
42,18,10.8333
42,38,9.1667
42,20,9.8333
42,22,13.0
42,181,9.0
44,45,23.5
44,122,26.1667
44,67,21.4
44,0,14.7143
44,1,22.1667
44,46,18.8333
44,326,19.0
44,184,21.7143
44,68,20.1667
44,49,19.6667
44,4,22.2
44,5,20.2
44,73,22.5
44,6,22.5
44,75,22.0
44,76,21.1667
44,10,22.1429
44,11,23.0
44,54,21.5
44,224,20.1667
44,29,20.5714
44,81,20.75
44,13,23.0
44,148,20.8
44,14,24.5
44,57,16.2857
44,110,18.8333
44,82,23.1667
44,15,21.6
44,156,19.8
44,84,21.3333
44,16,17.5714
44,158,14.8333
44,58,21.75
44,85,13.0
44,34,15.6667
44,59,18.0
44,17,17.8
44,88,23.8
44,18,19.6667
44,36,18.5
44,37,18.5714
